name,calories,carbohydrates,fat,protein,location,meal_type
Oatmeal with Berries,350,45,10,8,Glen,breakfast
Scrambled Eggs and Toast,420,20,25,25,Glen,breakfast
Greek Yogurt Parfait,300,35,5,18,Glen,breakfast
Avocado Toast,380,30,18,12,Glen,breakfast
Breakfast Burrito,500,40,22,28,Glen,breakfast
Pancakes with Syrup,550,80,12,10,Glen,breakfast
Spinach Omelette,320,10,20,24,Glen,breakfast
Smoothie Bowl,400,60,8,12,Glen,breakfast
Bagel with Cream Cheese,400,60,12,10,Glen,breakfast
Chia Seed Pudding,350,40,15,12,Glen,breakfast
Egg White Wrap,320,25,8,22,Glen,breakfast
Peanut Butter Banana Toast,420,45,18,14,Glen,breakfast
Turkey Sandwich,420,40,12,30,Glen,lunch
Grilled Cheese,480,35,25,20,Glen,lunch
Chicken Tacos,550,50,22,35,Glen,lunch
Caprese Salad,360,28,20,15,Glen,lunch
Veggie Burger,620,55,22,28,Glen,lunch
Falafel Wrap,450,55,14,18,Glen,lunch
Quinoa Power Bowl,470,60,14,22,Glen,lunch
BBQ Chicken Wrap,560,45,25,40,Glen,lunch
Grilled Chicken Bowl,550,60,18,40,Glen,dinner
Beef Stir-Fry with Vegetables,680,55,24,46,Glen,dinner
Baked Salmon with Rice,600,50,22,44,Glen,dinner
Pasta Alfredo,650,70,25,35,Glen,dinner
Tofu Curry,520,68,14,22,Glen,dinner
Steak and Potatoes,720,40,30,50,Glen,dinner
Shrimp Fajitas,580,48,18,40,Glen,dinner
Stuffed Peppers,530,45,16,32,Glen,dinner
Cappuccino,180,18,8,9,Glen,drink
Orange Juice,220,52,0,3,Glen,drink
Iced Latte,200,24,6,8,Glen,drink
Protein Shake,250,15,5,35,Glen,drink
Hot Chocolate,240,38,8,7,Glen,drink
Mocha Latte,260,32,9,8,Glen,drink
Vanilla Smoothie,280,40,5,10,Glen,drink
Strawberry Milk,230,34,6,9,Glen,drink
Water,0,0,0,0,Glen,drink
Breakfast Sandwich,480,42,22,28,West Village,breakfast
Bagel with Cream Cheese,400,60,12,10,West Village,breakfast
Chia Seed Pudding,350,40,15,12,West Village,breakfast
Egg White Wrap,320,25,8,22,West Village,breakfast
Berry Smoothie Bowl,370,55,8,15,West Village,breakfast
Waffles with Fruit,540,75,14,12,West Village,breakfast
Greek Yogurt with Honey,310,30,6,18,West Village,breakfast
Sausage and Egg Muffin,460,35,24,26,West Village,breakfast
Chicken Caesar Wrap,480,38,20,35,West Village,lunch
Vegetable Stir-Fry,450,65,10,15,West Village,lunch
Lentil Soup,320,45,6,18,West Village,lunch
Tuna Salad Sandwich,410,35,16,28,West Village,lunch
Pulled Chicken Sandwich,540,50,22,36,West Village,lunch
Buffalo Chicken Wrap,590,45,26,38,West Village,lunch
Veggie Burger,610,58,22,27,West Village,lunch
Cobb Salad,460,25,28,35,West Village,lunch
Tomato Basil Soup with Bread,380,48,8,14,West Village,lunch
Falafel Bowl,480,55,14,20,West Village,lunch
Pasta Primavera,520,70,14,20,West Village,dinner
BBQ Chicken Sandwich,600,55,18,38,West Village,dinner
Shrimp Stir-Fry,580,65,15,42,West Village,dinner
Vegetable Curry,500,70,12,18,West Village,dinner
Tofu Teriyaki Bowl,530,60,16,30,West Village,dinner
Steak with Sweet Potatoes,700,40,28,50,West Village,dinner
Chicken Parmesan,640,58,24,45,West Village,dinner
Veggie Pizza,740,85,28,30,West Village,dinner
Green Tea,40,10,0,0,West Village,drink
Iced Coffee,160,15,5,5,West Village,drink
Berry Smoothie,280,55,4,10,West Village,drink
Chocolate Milk,230,32,6,9,West Village,drink
Lemonade,180,44,0,0,West Village,drink
Matcha Latte,220,35,6,8,West Village,drink
Cold Brew Coffee,100,2,0,2,West Village,drink
Mango Juice,210,46,0,2,West Village,drink
Water,0,0,0,0,West Village,drink
Omelette with Veggies,380,20,24,26,Newell,breakfast
Breakfast Burrito,500,45,20,28,Newell,breakfast
Pancakes with Syrup,540,80,10,12,Newell,breakfast
French Toast,520,70,14,16,Newell,breakfast
Bagel with Peanut Butter,420,45,18,18,Newell,breakfast
Cereal with Milk,340,60,6,10,Newell,breakfast
Protein Oatmeal,390,50,8,20,Newell,breakfast
Fruit Smoothie,300,55,4,10,Newell,breakfast
Asian Chicken Salad,420,30,15,34,Newell,lunch
Turkey and Cheese Wrap,500,45,18,32,Newell,lunch
BBQ Pulled Pork Sandwich,650,55,28,40,Newell,lunch
Steak Bowl with Rice,720,60,28,50,Newell,lunch
Chicken Quesadilla,580,52,25,38,Newell,lunch
Hummus Veggie Wrap,430,48,14,20,Newell,lunch
Veggie Burrito,520,60,18,22,Newell,lunch
Spicy Noodle Bowl,610,65,20,30,Newell,lunch
Salmon with Quinoa,600,50,22,45,Newell,dinner
Beef Burrito Bowl,700,65,25,40,Newell,dinner
Tofu Curry,520,68,14,22,Newell,dinner
Steak Bowl,710,58,30,52,Newell,dinner
Baked Cod with Couscous,480,35,10,38,Newell,dinner
Chicken Alfredo Pasta,680,65,28,42,Newell,dinner
Teriyaki Beef Bowl,720,62,26,48,Newell,dinner
Stuffed Peppers,520,45,18,32,Newell,dinner
Sparkling Water,10,0,0,0,Newell,drink
Chocolate Protein Shake,260,20,5,30,Newell,drink
Iced Tea,120,28,0,0,Newell,drink
Fruit Punch,200,50,0,0,Newell,drink
Watermelon Smoothie,260,45,4,8,Newell,drink
Black Coffee,15,0,0,2,Newell,drink
Caramel Frappe,350,55,10,5,Newell,drink
Espresso,10,0,0,1,Newell,drink
Water,0,0,0,0,Newell,drink
